date,Open,High,Low,Close,Volume,CloseTime,QuoteAssetVolume,NumberofTrade,TakerbuybaseV,TakerbuyquoteV,Ignore,tweet_count,daily_sent,elonmusk,michael_saylor,apompliano,justinsuntron,jack,cz_binance,snowden,therealkiyosaki,pulte,profdemirtas,Bitcoin_pytrend_unscaled,Bitcoin_pytrend_monthly,MA_10,ADX_2_7,RSI_10,MACD_5_10,MACDsign_5_10,MACDdiff_5_10,Mass Index,vix,gvz
2020-03-23,38324.72,40841.0,37800.44,39241.91,104780.773396,1622073599999,4113717505.2635546,2432319,50485.076994,1983423341.5599248,0,356.0,0.190235674157303,0.0,59.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,35.0,38932.446,0.5384043495549009,0.2283250243684606,-1147.953607888121,-1939.4060924326443,791.4524845445233,0.0,61.59000015258789,41.15999984741211
2020-03-24,39241.92,40411.14,37134.27,38529.98,86547.158794,1622159999999,3361413526.053544,2102182,42256.012801,1641681553.5291371,0,177.0,0.2926333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,31.0,30.0,38431.64,0.6301026751832781,0.2102601531215625,-936.122366681775,-1714.6122973240972,778.4899306423222,0.0,61.66999816894531,40.40999984741211
2020-03-25,38529.99,38877.83,34684.0,35663.49,135377.62972,1622246399999,4926260941.933613,2659178,64327.281853,2341060689.073459,0,177.0,0.2039999999999998,0.0,59.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,35.0,35.0,37713.011,0.7114730008046517,0.1550956207766212,-1188.8708004077344,-1599.583061852103,410.7122614443683,0.0,63.95000076293945,40.560001373291016
2020-03-26,35661.79,37338.58,33632.76,34605.15,112663.092689,1622332799999,3949843335.322595,2169643,54284.199652,1904345668.779006,0,472.0,0.174925,0.0,118.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,30.0,37504.51700000001,0.7755232399716921,0.1363387501321131,-1412.138621496415,-1559.3278571799974,147.1892356835824,0.0,61.0,37.47999954223633
2020-03-27,34605.15,36488.0,33379.0,35641.27,73535.386967,1622419199999,2601994948.148242,1559892,37406.813903,1324617922.554574,0,531.0,0.1686333333333333,0.0,59.0,118.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,31.0,30.0,37015.98,0.717224535396968,0.1316416937519561,-1293.5501520231046,-1503.0800608431623,209.52990882005795,0.0,65.54000091552734,34.88999938964844
2020-03-30,35641.26,37499.0,34153.84,37253.81,94160.735289,1622505599999,3406047734.8311286,1896359,46337.932504,1677796724.0573614,0,354.0,0.3041000000000004,0.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,27.0,37016.16,0.7278391825734819,0.2563888178916639,-909.0145256065588,-1378.8011076300145,469.78658202345537,0.0,57.08000183105469,30.420000076293945
2020-03-31,37253.82,37894.81,35666.0,36693.09,81234.66377,1622591999999,2973928300.375587,1760417,40291.834851,1475008291.233647,0,354.0,0.3185166666666655,0.0,118.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,30.0,36940.496,0.7684480875333115,0.3042177523636585,-728.323219645572,-1243.9612751963853,515.6380555508133,0.0,53.540000915527344,29.190000534057617
2020-04-01,36694.85,38225.0,35920.0,37568.68,67587.372495,1622678399999,2523462575.688437,1530915,34328.496287,1281854474.912083,0,439.0,0.2377740318906604,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,27.0,37231.83899999999,0.8225558175754838,0.3470390045743255,-454.0087111892936,-1081.3949264728783,627.386215283585,0.0,57.060001373291016,30.260000228881836
2020-04-02,37568.68,39476.0,37170.0,39246.79,75889.106011,1622764799999,2930945325.709207,1949658,38664.297849,1493504667.6138017,0,354.0,-0.0516333333333331,0.0,59.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,25.0,37276.889,0.7523364836079675,0.4918551845475492,-24.261030826019123,-865.0975637323083,840.8365329062892,0.0,50.90999984741211,31.90999984741211
2020-04-03,39246.78,39289.07,35555.15,36829.0,91317.799245,1622851199999,3379399754.9305224,1926311,43105.97173,1595098152.966827,0,1239.0,0.0997476190476198,59.0,118.0,236.0,177.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37127.317,0.7344900213780808,0.3643617804041975,-152.78023287229007,-720.0206237489076,567.2403908766175,0.0,46.79999923706055,31.850000381469727
2020-04-06,36829.15,37925.0,35250.0,35871.91,57001.130816,1622937599999,2085547417.2922528,1181512,27622.599925,1010648874.245562,0,485.0,0.2256653608247425,59.0,177.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36790.317,0.7344900213780808,0.3437809169452407,-358.00269729881256,-646.558335307365,288.5556380085525,0.0,45.2400016784668,35.7599983215332
